股票代码,股票名称,所属板块,概念列表,热点标签
600000,浦发银行,股份制银行Ⅲ,,股份制银行Ⅲ
600004,白云机场,航空机场,,军工
600006,东风股份,商用车,,商用车
600007,中国国贸,房地产,,房地产
600008,首创环保,环境治理,,环境治理
600009,上海机场,航空机场,,军工
600010,包钢股份,钢铁,,钢铁
600011,华能国际,公用事业,,公用事业
600012,皖通高速,未知,,未归类
600015,华夏银行,股份制银行Ⅲ,,股份制银行Ⅲ
600016,民生银行,股份制银行Ⅲ,,股份制银行Ⅲ
600017,日照港,港口,,港口
600018,上港集团,港口,,港口
600019,宝钢股份,钢铁,,钢铁
600020,中原高速,未知,,未归类
600021,上海电力,公用事业,,电力
600022,山东钢铁,钢铁,,钢铁
600023,浙能电力,公用事业,,电力
600025,华能水电,公用事业,,电力
600026,中远海能,未知,,未归类
600027,华电国际,公用事业,,公用事业
600028,中国石化,石油石化,,石油石化
600029,南方航空,航空机场,,军工
600030,中信证券,非银金融,,非银金融
600031,三一重工,工程机械整机,,工程机械整机
600032,浙江新能,公用事业,,公用事业
600033,福建高速,未知,,未归类
600035,楚天高速,未知,,未归类
600036,招商银行,股份制银行Ⅲ,,股份制银行Ⅲ
600037,歌华有线,电视广播Ⅲ,,电视广播Ⅲ
600038,中直股份,国防军工,,军工
600039,四川路桥,建筑装饰,,建筑装饰
600048,保利发展,房地产,,房地产
600050,中国联通,通信服务,,通信
600051,宁波联合,综合,,综合
600052,东望时代,公用事业,,公用事业
600054,黄山旅游,旅游及景区,,旅游及景区
600055,万东医疗,医疗器械,,医药
600056,中国医药,医药流通,,医药
600057,厦门象屿,物流,,物流
600058,五矿发展,商贸零售,,商贸零售
600059,古越龙山,食品饮料,,食品饮料
600060,海信视像,彩电,,彩电
600061,国投资本,金融控股,,金融控股
600062,华润双鹤,化学制剂,,化工
600063,皖维高新,化学纤维,,化工
600064,南京高科,房地产,,房地产
600066,宇通客车,商用车,,商用车
600067,冠城新材,电网设备,,电力
600071,凤凰光学,未知,,未归类
600072,中船科技,风电设备,,新能源
600073,光明肉业,肉制品,,肉制品
600075,新疆天业,化学原料,,化工
600076,康欣新材,轻工制造,,轻工制造
600078,澄星股份,农化制品,,农化制品
600081,东风科技,车身附件及饰件,,车身附件及饰件
600085,同仁堂,中药Ⅱ,,医药
600088,中视传媒,传媒,,传媒
600089,特变电工,输变电设备,,输变电设备
600094,大名城,房地产,,房地产
600095,湘财股份,非银金融,,非银金融
600096,云天化,农化制品,,农化制品
600097,开创国际,渔业,,渔业
600098,广州发展,公用事业,,公用事业
600099,林海股份,汽车,,汽车
600100,同方股份,其他计算机设备,,其他计算机设备
600101,明星电力,公用事业,,电力
600103,青山纸业,造纸,,造纸
600104,上汽集团,乘用车,,乘用车
600105,永鼎股份,通信,,通信
600106,重庆路桥,未知,,未归类
600108,亚盛集团,农林牧渔,,农林牧渔
600109,国金证券,非银金融,,非银金融
600110,诺德股份,电池,,锂电池
600111,北方稀土,稀土,,有色金属
600113,浙江东日,商贸零售,,商贸零售
600114,东睦股份,通用设备,,通用设备
600115,中国东航,航空机场,,军工
600116,三峡水利,公用事业,,公用事业
600117,西宁特钢,特钢Ⅱ,,特钢Ⅱ
600118,中国卫星,航天装备Ⅱ,,军工
600120,浙江东方,金融控股,,金融控股
600121,郑州煤电,煤炭开采,,煤炭开采
600123,兰花科创,煤炭开采,,煤炭开采
600125,铁龙物流,未知,,未归类
600126,杭钢股份,钢铁,,钢铁
600127,金健米业,农林牧渔,,农林牧渔
600128,苏豪弘业,商贸零售,,商贸零售
600129,太极集团,中药Ⅱ,,医药
600130,波导股份,消费电子,,消费电子
600131,国网信通,IT服务Ⅲ,,IT服务Ⅲ
600132,重庆啤酒,食品饮料,,食品饮料
600133,东湖高新,环境治理,,环境治理
600135,乐凯胶片,膜材料,,膜材料
600137,浪莎股份,非运动服装,,非运动服装
600138,中青旅,旅游及景区,,旅游及景区
600141,兴发集团,农化制品,,农化制品
600143,金发科技,塑料,,化工
600148,长春一东,汽车,,汽车
600149,廊坊发展,公用事业,,公用事业
600150,中国船舶,航海装备Ⅲ,,军工
600151,航天机电,光伏电池组件,,锂电池；军工；新能源
600152,维科技术,电池,,锂电池
600153,建发股份,物流,,物流
600155,华创云信,非银金融,,非银金融
600156,华升股份,其他纺织,,其他纺织
600157,永泰能源,公用事业,,公用事业
600158,中体产业,体育Ⅱ,,体育Ⅱ
600159,大龙地产,房地产,,房地产
600160,巨化股份,氟化工,,化工
600161,天坛生物,未知,,未归类
600162,香江控股,房地产,,房地产
600163,中闽能源,公用事业,,公用事业
600166,福田汽车,商用车,,汽车
600167,联美控股,公用事业,,公用事业
600168,武汉控股,环境治理,,环境治理
600170,上海建工,房屋建设Ⅱ,,房屋建设Ⅱ
600171,上海贝岭,半导体,,半导体
600172,黄河旋风,磨具磨料,,磨具磨料
600173,卧龙新能,房地产,,房地产
600176,中国巨石,玻纤制造,,玻纤制造
600177,雅戈尔,非运动服装,,非运动服装
600178,东安动力,汽车,,汽车
600179,安通控股,未知,,未归类
600182,S佳通,汽车,,汽车
600183,生益科技,印制电路板,,印制电路板
600184,光电股份,国防军工,,军工
600185,珠免集团,旅游零售Ⅲ,,旅游零售Ⅲ
600186,莲花控股,食品饮料,,食品饮料
600188,兖矿能源,煤炭开采,,煤炭开采
600189,泉阳泉,食品饮料,,食品饮料
600191,华资实业,农林牧渔,,农林牧渔
600192,长城电工,输变电设备,,输变电设备
600195,中牧股份,动物保健Ⅱ,,动物保健Ⅱ
600196,复星医药,化学制剂,,化工；医药
600197,伊力特,白酒Ⅲ,,白酒Ⅲ
600198,大唐电信,通信,,通信
600199,金种子酒,白酒Ⅲ,,白酒Ⅲ
600201,生物股份,动物保健Ⅱ,,动物保健Ⅱ
600202,哈空调,通用设备,,通用设备
600203,福日电子,消费电子,,消费电子
600206,有研新材,半导体,,半导体
600207,安彩高科,光伏设备,,新能源
600208,衢州发展,房地产,,房地产
600210,紫江企业,轻工制造,,轻工制造
600211,西藏药业,未知,,未归类
600212,绿能慧充,其他电源设备Ⅱ,,其他电源设备Ⅱ
600215,派斯林,自动化设备,,机器人
600216,浙江医药,化学制药,,化工；医药
600217,中再资环,环境治理,,环境治理
600218,全柴动力,汽车,,汽车
600219,南山铝业,铝,,有色金属
600221,海航控股,航空机场,,军工
600222,太龙药业,中药Ⅱ,,医药
600223,福瑞达,美容护理,,美容护理
600226,亨通股份,公用事业,,公用事业
600227,赤天化,农化制品,,农化制品
600229,城市传媒,大众出版,,传媒
600230,沧州大化,化学制品,,化工
600231,凌钢股份,钢铁,,钢铁
600232,金鹰股份,纺织服装设备,,纺织服装设备
600233,圆通速递,物流,,物流
600234,科新发展,建筑装饰,,建筑装饰
600235,民丰特纸,造纸,,造纸
600236,桂冠电力,公用事业,,电力
600237,铜峰电子,被动元件,,有色金属
600241,时代万恒,电池,,锂电池
600246,万通发展,房地产,,房地产
600248,陕建股份,房屋建设Ⅱ,,房屋建设Ⅱ
600249,两面针,洗护用品,,洗护用品
600250,南京商旅,商贸零售,,商贸零售
600251,冠农股份,农林牧渔,,农林牧渔
600252,中恒集团,中药Ⅱ,,医药
600255,鑫科材料,金属新材料,,化工
600256,广汇能源,油品石化贸易,,油品石化贸易
600257,大湖股份,水产养殖,,水产养殖
600258,首旅酒店,未知,,未归类
600259,中稀有色,稀土,,有色金属
600261,阳光照明,照明设备Ⅱ,,照明设备Ⅱ
600262,北方股份,能源及重型设备,,能源及重型设备
600266,城建发展,房地产,,房地产
600267,海正药业,化学制剂,,化工
600268,国电南自,电网自动化设备,,机器人；电力
600269,赣粤高速,未知,,未归类
600271,航天信息,IT服务Ⅲ,,军工
600272,开开实业,医药流通,,医药
600273,嘉化能源,其他化学制品,,化工
600276,恒瑞医药,化学制剂,,化工；医药
600278,东方创业,商贸零售,,商贸零售
600279,重庆港,港口,,港口
600280,中央商场,商贸零售,,商贸零售
600281,华阳新材,未知,,未归类
600282,南钢股份,钢铁,,钢铁
600283,钱江水利,环境治理,,环境治理
600284,浦东建设,建筑装饰,,建筑装饰
600285,羚锐制药,中药Ⅱ,,医药
600287,苏豪时尚,商贸零售,,商贸零售
600288,大恒科技,横向通用软件,,软件
600292,电投水电,环境治理,,电力
600293,三峡新材,建筑材料,,建筑材料
600295,鄂尔多斯,钢铁,,钢铁
600298,安琪酵母,食品饮料,,食品饮料
600299,安迪苏,化学制品,,化工
600300,维维股份,食品饮料,,食品饮料
600301,华锡有色,未知,,有色金属
600303,曙光股份,商用车,,商用车
600305,恒顺醋业,食品饮料,,食品饮料
600307,酒钢宏兴,钢铁,,钢铁
600308,华泰股份,大宗用纸,,大宗用纸
600309,万华化学,化学制品,,化工
600310,广西能源,公用事业,,公用事业
600312,平高电气,输变电设备,,输变电设备
600313,农发种业,农林牧渔,,农林牧渔
600315,上海家化,美容护理,,美容护理
600316,洪都航空,国防军工,,军工
600318,新力金融,金融控股,,金融控股
600319,亚星化学,化学原料,,化工
600320,振华重工,能源及重型设备,,能源及重型设备
600322,津投城开,房地产,,房地产
600323,瀚蓝环境,环境治理,,环境治理
600325,华发股份,房地产,,房地产
600326,西藏天路,建筑材料,,建筑材料
600327,大东方,商贸零售,,商贸零售
600328,中盐化工,无机盐,,化工
600329,达仁堂,中药Ⅱ,,医药
600330,天通股份,电子化学品Ⅱ,,化工
600331,宏达股份,农化制品,,农化制品
600332,白云山,中药Ⅱ,,医药
600333,长春燃气,燃气Ⅲ,,燃气Ⅲ
600335,国机汽车,汽车服务,,汽车
600336,澳柯玛,白色家电,,白色家电
600338,西藏珠峰,铅锌,,有色金属
600339,中油工程,油气及炼化工程,,化工
600343,航天动力,通用设备,,军工
600345,长江通信,通信,,通信
600346,恒力石化,石油石化,,石油石化
600348,华阳股份,煤炭开采,,煤炭开采
600350,山东高速,未知,,未归类
600351,亚宝药业,中药Ⅱ,,医药
600352,浙江龙盛,纺织化学制品,,化工
600353,旭光电子,其他电子Ⅲ,,其他电子Ⅲ
600354,敦煌种业,农林牧渔,,农林牧渔
600356,恒丰纸业,造纸,,造纸
600358,国旅联合,营销代理,,营销代理
600359,新农开发,农林牧渔,,农林牧渔
600361,创新新材,铝,,有色金属
600362,江西铜业,铜,,有色金属
600363,联创光电,消费电子,,消费电子
600366,宁波韵升,磁性材料,,磁性材料
600367,红星发展,无机盐,,无机盐
600368,五洲交通,未知,,未归类
600369,西南证券,非银金融,,非银金融
600371,万向德农,农林牧渔,,农林牧渔
600372,中航机载,国防军工,,军工
600373,中文传媒,大众出版,,传媒
