日期,开盘,收盘,最高,最低,成交量,成交额
2025-02-14,20.78,21.28,21.56,20.7,40082763,852961196.6400001
2025-02-17,21.24,20.95,21.24,20.68,34801240,729085978.0
2025-02-18,21.13,22.96,24.1,20.93,132826493,3049696279.28
2025-02-19,22.45,23.42,23.6,22.42,98473683,2306253655.86
2025-02-20,23.4,23.31,23.79,23.03,65558644,1528171991.6399999
2025-02-21,23.6,23.64,24.38,23.35,83018177,1962549704.28
2025-02-24,23.64,23.09,24.06,22.8,60011118,1385656714.62
2025-02-25,22.67,23.13,23.48,22.64,45045414,1041900425.8199999
2025-02-26,23.35,23.51,23.97,23.13,56621846,1331179599.46
2025-02-27,23.65,24.1,24.5,23.51,90039189,2169944454.9
2025-02-28,23.8,22.87,24.29,22.78,61520872,1406982342.64
2025-03-03,23.1,24.19,25.0,23.1,97978218,2370093093.42
2025-03-04,23.73,23.78,23.9,22.88,59573897,1416667270.66
2025-03-05,23.59,23.4,23.8,23.03,36194379,846948468.5999999
2025-03-06,23.48,23.46,23.69,23.3,42485325,996705724.5
2025-03-07,23.25,22.97,23.26,22.78,35157122,807559092.3399999
2025-03-10,22.91,23.13,23.36,22.8,25903243,599142010.59
2025-03-11,22.7,23.24,23.26,22.57,28343449,658701754.76
2025-03-12,23.24,23.97,24.33,23.12,57269496,1372749819.12
2025-03-13,23.98,23.58,24.04,23.34,30238938,713034158.04
2025-03-14,23.61,23.54,23.7,23.03,29610434,697029616.36
2025-03-17,23.54,23.17,23.62,23.11,24444522,566379574.74
2025-03-18,23.46,23.32,23.74,23.17,26273523,612698556.36
2025-03-19,23.16,22.91,23.22,22.81,22951441,525817513.31
2025-03-20,22.82,22.67,22.97,22.61,17811309,403782375.03000003
2025-03-21,22.6,22.09,22.8,22.01,25243932,557638457.88
2025-03-24,22.08,21.71,22.2,21.23,24658381,535333451.51000005
2025-03-25,21.75,21.58,21.97,21.45,15208921,328208515.17999995
2025-03-26,21.53,21.49,21.87,21.49,13686386,294120435.14
2025-03-27,21.49,21.6,21.71,21.13,15697678,339069844.8
2025-03-28,21.59,21.45,21.83,21.34,11459607,245808570.15
2025-03-31,21.31,21.03,21.35,20.66,19776479,415899353.37
2025-04-01,21.05,20.92,21.19,20.91,9805664,205134490.88000003
2025-04-02,21.0,20.95,21.2,20.88,10164174,212939445.29999998
2025-04-03,20.7,20.75,21.18,20.61,13090695,271631921.25
2025-04-07,19.4,17.3,19.4,16.8,48538451,839715202.3000001
2025-04-08,17.69,17.62,18.24,17.26,28041462,494090560.44000006
2025-04-09,17.31,17.91,18.12,16.76,27879919,499329349.29
2025-04-10,18.53,18.52,18.94,18.31,27769815,514296973.8
2025-04-11,18.4,18.65,18.89,18.31,15774878,294201474.7
